construct,promoter,name,ts,miR,ts_num,ts_kind,design,group
RC156,hPGK,hPGK-TS.FF4x1-mRuby2-bGH,FF4x1,none,1,T,0,ts5
RC157,hPGK,hPGK-TS.FF5x1-mRuby2-bGH,FF5x1,none,1,T,0,ts5
RC158,hPGK,hPGK-TS.FF6x1-mRuby2-bGH,FF6x1,none,1,NT,0,ts5
RC159,EF1a,EF1a-mRuby2-TS.FF3x1-bGH,FF3x1,none,1,NT,0,ts3
RC160,EF1a,EF1a-mRuby2-TS.FF4x1-bGH,FF4x1,none,1,T,0,ts3
RC161,EF1a,EF1a-mRuby2-TS.FF5x1-bGH,FF5x1,none,1,T,0,ts3
RC162,EF1a,EF1a-mRuby2-TS.FF6x1-bGH,FF6x1,none,1,NT,0,ts3
RC163,EF1a,EF1a-TS.FF3x1-mRuby2-bGH,FF3x1,none,1,NT,0,ts5
RC164,EF1a,EF1a-TS.FF4x1-mRuby2-bGH,FF4x1,none,1,T,0,ts5
RC165,EF1a,EF1a-TS.FF5x1-mRuby2-bGH,FF5x1,none,1,T,0,ts5
RC166,EF1a,EF1a-TS.FF6x1-mRuby2-bGH,FF6x1,none,1,NT,0,ts5
RC167,hPGK,hPGK-mRuby2(miR.FF5)-bGH,none,miR.FF5,0,na,0,miR
RC168,hPGK,hPGK-mRuby2-miR.FF5-bGH,none,miR.FF5,0,na,0,miR
RC169,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF6x1-bGH,FF6x1,miR.FF5,1,NT,1,controller
RC170,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF5x1-bGH,FF5x1,miR.FF5,1,T,1,controller
RC171,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF3x1-bGH,FF3x1,miR.FF5,1,NT,1,controller
RC172,hPGK,hPGK-TS.FF6x1-mRuby2(miR.FF5)-bGH,FF6x1,miR.FF5,1,NT,2,controller
RC173,hPGK,hPGK-TS.FF5x1-mRuby2(miR.FF5)-bGH,FF5x1,miR.FF5,1,T,2,controller
RC174,hPGK,hPGK-TS.FF3x1-mRuby2(miR.FF5)-bGH,FF3x1,miR.FF5,1,NT,2,controller
RC175,hPGK,hPGK-TS.FF6x1-mRuby2-miR.FF5-bGH,FF6x1,miR.FF5,1,NT,3,controller
RC176,hPGK,hPGK-TS.FF5x1-mRuby2-miR.FF5-bGH,FF5x1,miR.FF5,1,T,3,controller
RC177,hPGK,hPGK-TS.FF3x1-mRuby2-miR.FF5-bGH,FF3x1,miR.FF5,1,NT,3,controller
RC178,EF1a,EF1a-mRuby2(miR.FF5)-bGH,none,miR.FF5,0,na,0,miR
RC179,EF1a,EF1a-mRuby2-miR.FF5-bGH,none,miR.FF5,0,na,0,miR
RC180,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF6x1-bGH,FF6x1,miR.FF5,1,NT,1,controller
RC181,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF5x1-bGH,FF5x1,miR.FF5,1,T,1,controller
RC182,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF3x1-bGH,FF3x1,miR.FF5,1,NT,1,controller
RC183,EF1a,EF1a-TS.FF6x1-mRuby2(miR.FF5)-bGH,FF6x1,miR.FF5,1,NT,2,controller
RC184,EF1a,EF1a-TS.FF5x1-mRuby2(miR.FF5)-bGH,FF5x1,miR.FF5,1,T,2,controller
RC185,EF1a,EF1a-TS.FF3x1-mRuby2(miR.FF5)-bGH,FF3x1,miR.FF5,1,NT,2,controller
RC186,EF1a,EF1a-TS.FF6x1-mRuby2-miR.FF5-bGH,FF6x1,miR.FF5,1,NT,3,controller
RC187,EF1a,EF1a-TS.FF5x1-mRuby2-miR.FF5-bGH,FF5x1,miR.FF5,1,T,3,controller
RC188,EF1a,EF1a-TS.FF3x1-mRuby2-miR.FF5-bGH,FF3x1,miR.FF5,1,NT,3,controller
RC189,hPGK,hPGK-mRuby2(miR.FF4)-bGH,none,miR.FF4,0,na,0,miR
RC190,hPGK,hPGK-mRuby2-miR.FF4-bGH,none,miR.FF4,0,na,0,miR
RC191,hPGK,hPGK-mRuby2(miR.FF4)-TS.FF6x1-bGH,FF6x1,miR.FF4,1,NT,1,controller
RC192,hPGK,hPGK-mRuby2(miR.FF4)-TS.FF4x1-bGH,FF4x1,miR.FF4,1,T,1,controller
RC193,hPGK,hPGK-TS.FF6x1-mRuby2(miR.FF4)-bGH,FF6x1,miR.FF4,1,NT,2,controller
RC194,hPGK,hPGK-TS.FF4x1-mRuby2(miR.FF4)-bGH,FF4x1,miR.FF4,1,T,2,controller
RC195,hPGK,hPGK-TS.FF6x1-mRuby2-miR.FF4-bGH,FF6x1,miR.FF4,1,NT,3,controller
RC196,hPGK,hPGK-TS.FF4x1-mRuby2-miR.FF4-bGH,FF4x1,miR.FF4,1,T,3,controller
RC197,EF1a,EF1a-mRuby2(miR.FF4)-bGH,none,miR.FF4,0,na,0,miR
RC198,EF1a,EF1a-mRuby2-miR.FF4-bGH,none,miR.FF4,0,na,0,miR
RC199,EF1a,EF1a-mRuby2(miR.FF4)-TS.FF6x1-bGH,FF6x1,miR.FF4,1,NT,1,controller
RC200,EF1a,EF1a-mRuby2(miR.FF4)-TS.FF4x1-bGH,FF4x1,miR.FF4,1,T,1,controller
RC201,EF1a,EF1a-TS.FF6x1-mRuby2(miR.FF4)-bGH,FF6x1,miR.FF4,1,NT,2,controller
RC202,EF1a,EF1a-TS.FF4x1-mRuby2(miR.FF4)-bGH,FF4x1,miR.FF4,1,T,2,controller
RC203,EF1a,EF1a-TS.FF6x1-mRuby2-miR.FF4-bGH,FF6x1,miR.FF4,1,NT,3,controller
RC204,EF1a,EF1a-TS.FF4x1-mRuby2-miR.FF4-bGH,FF4x1,miR.FF4,1,T,3,controller
RC205,CAG,CAG-mGL-bGH,na,na,0,na,0,marker
RC206,EF1a,EF1a-mRuby2-miRE.FF4-bGH,none,miRE.FF4,0,na,0,miR
RC207,EF1a,EF1a-TS.FF6x1-mRuby2(miRE.FF4)-bGH,FF6x1,miRE.FF4,1,NT,2,controller
RC208,EF1a,EF1a-TS.FF4x1-mRuby2(miRE.FF4)-bGH,FF4x1,miRE.FF4,1,T,2,controller
RC209,EF1a,EF1a-TS.FF6x1-mRuby2-miRE.FF4-bGH,FF6x1,miRE.FF4,1,NT,3,controller
RC210,EF1a,EF1a-TS.FF4x1-mRuby2-miRE.FF4-bGH,FF4x1,miRE.FF4,1,T,3,controller
RC211,hPGK,hPGK-mRuby2(miRE.FF5)-bGH,none,miRE.FF5,0,na,0,miR
RC212,hPGK,hPGK-mRuby2-miRE.FF5-bGH,none,miRE.FF5,0,na,0,miR
RC213,hPGK,hPGK-mRuby2(miRE.FF5)-TS.FF6x1-bGH,FF6x1,miRE.FF5,1,NT,1,controller
RC214,hPGK,hPGK-mRuby2(miRE.FF5)-TS.FF5x1-bGH,FF5x1,miRE.FF5,1,T,1,controller
RC215,hPGK,hPGK-TS.FF6x1-mRuby2(miRE.FF5)-bGH,FF6x1,miRE.FF5,1,NT,2,controller
RC216,hPGK,hPGK-TS.FF5x1-mRuby2(miRE.FF5)-bGH,FF5x1,miRE.FF5,1,T,2,controller
RC217,hPGK,hPGK-TS.FF6x1-mRuby2-miRE.FF5-bGH,FF6x1,miRE.FF5,1,NT,3,controller
RC218,hPGK,hPGK-TS.FF5x1-mRuby2-miRE.FF5-bGH,FF5x1,miRE.FF5,1,T,3,controller
RC219,EF1a,EF1a-mRuby2(miRE.FF5)-bGH,none,miRE.FF5,0,na,0,miR
RC220,EF1a,EF1a-mRuby2-miRE.FF5-bGH,none,miRE.FF5,0,na,0,miR
RC221,EF1a,EF1a-mRuby2(miRE.FF5)-TS.FF6x1-bGH,FF6x1,miRE.FF5,1,NT,1,controller
RC222,EF1a,EF1a-mRuby2(miRE.FF5)-TS.FF5x1-bGH,FF5x1,miRE.FF5,1,T,1,controller
RC223,EF1a,EF1a-TS.FF6x1-mRuby2(miRE.FF5)-bGH,FF6x1,miRE.FF5,1,NT,2,controller
RC224,EF1a,EF1a-TS.FF5x1-mRuby2(miRE.FF5)-bGH,FF5x1,miRE.FF5,1,T,2,controller
RC225,EF1a,EF1a-TS.FF6x1-mRuby2-miRE.FF5-bGH,FF6x1,miRE.FF5,1,NT,3,controller
RC226,EF1a,EF1a-TS.FF5x1-mRuby2-miRE.FF5-bGH,FF5x1,miRE.FF5,1,T,3,controller
